latitude,longitude,year,avg_rainfall,max_rainfall,avg_temperature,max_temperature
25.0,65.625,2020,3.4168979591836734,104.25,27.665918367346936,31.34
25.0,65.625,2021,0.7954794520547945,37.71,26.359972602739724,32.08
25.0,65.625,2022,2.323123287671233,131.97,26.20958904109589,30.71
25.0,65.625,2023,0.26,6.0,22.599560439560438,25.66
25.0,66.25,2020,3.762734693877551,104.17,27.755020408163265,31.51
25.0,66.25,2021,0.8881095890410958,38.48,26.383232876712327,32.52
25.0,66.25,2022,2.51786301369863,139.48,26.217753424657534,30.83
25.0,66.25,2023,0.13395604395604396,3.1,22.610659340659343,25.61
25.0,66.875,2020,3.4239183673469387,112.86,27.43208163265306,32.74
25.0,66.875,2021,0.7585753424657534,24.83,26.414931506849317,33.14
25.0,66.875,2022,2.145178082191781,91.93,25.97928767123288,31.3
25.0,66.875,2023,0.06670329670329671,2.66,22.071208791208793,26.29
25.0,67.5,2020,3.480122448979592,303.96,27.206122448979592,33.18
25.0,67.5,2021,0.8358904109589042,92.7,26.619835616438355,34.98
25.0,67.5,2022,1.9489315068493152,92.08,25.960493150684933,33.77
25.0,67.5,2023,0.0465934065934066,1.82,21.61285714285714,27.23
25.0,68.125,2020,3.0385714285714287,351.01,28.330489795918368,35.83
25.0,68.125,2021,1.4840273972602738,167.53,27.387452054794522,35.0
25.0,68.125,2022,2.053287671232877,135.0,26.93745205479452,35.7
25.0,68.125,2023,0.04725274725274725,2.6,22.146703296703297,28.37
25.0,68.75,2020,2.961959183673469,331.83,29.008530612244897,36.88
25.0,68.75,2021,1.5442191780821917,182.01,27.993178082191783,35.95
25.0,68.75,2022,2.089972602739726,135.95,27.45487671232877,37.46
25.0,68.75,2023,0.048791208791208796,2.6,22.71505494505495,29.17
25.0,69.375,2020,2.4979591836734696,156.79,29.05722448979592,37.36
25.0,69.375,2021,1.5529315068493148,215.01,28.134767123287673,36.43
25.0,69.375,2022,2.2046301369863013,94.51,27.545671232876714,37.71
25.0,69.375,2023,0.059010989010989015,1.31,22.694835164835165,29.09
25.0,70.0,2020,2.2470612244897956,83.89,29.032367346938777,37.94
25.0,70.0,2021,1.3131506849315069,97.94,27.93104109589041,35.88
25.0,70.0,2022,2.184027397260274,90.27,27.44887671232877,37.21
25.0,70.0,2023,0.09230769230769231,3.59,22.431758241758242,28.84
25.5,60.0,2020,0.394734693877551,41.9,29.19257142857143,37.05
25.5,60.0,2021,0.622054794520548,88.52,27.846465753424656,40.64
25.5,60.0,2022,0.6126027397260274,78.91,27.648,36.89
25.5,60.0,2023,0.17087912087912088,5.35,21.78120879120879,26.86
25.5,60.625,2020,0.2694285714285714,20.22,28.99187755102041,36.87
25.5,60.625,2021,0.5370958904109588,62.51,27.607835616438358,39.44
25.5,60.625,2022,0.5958082191780822,64.46,27.490000000000002,35.61
25.5,60.625,2023,0.22989010989010986,4.64,21.684725274725274,27.15
25.5,61.25,2020,0.2518367346938775,17.15,29.101020408163265,37.08
25.5,61.25,2021,0.4715068493150685,51.35,27.619890410958906,38.04
25.5,61.25,2022,0.5934246575342466,59.69,27.55158904109589,35.87
25.5,61.25,2023,0.24703296703296704,5.37,21.485824175824177,27.37
25.5,61.875,2020,0.18775510204081633,12.83,29.059061224489795,36.6
25.5,61.875,2021,0.33246575342465756,35.59,27.397506849315068,37.23
25.5,61.875,2022,0.560904109589041,51.79,27.41213698630137,35.33
25.5,61.875,2023,0.33296703296703295,5.95,21.204945054945057,27.29
25.5,62.5,2020,0.21175510204081632,19.4,28.873755102040814,36.3
25.5,62.5,2021,0.27317808219178086,43.1,27.059452054794523,37.2
25.5,62.5,2022,0.6004931506849315,47.0,27.114438356164385,35.05
25.5,62.5,2023,0.5078021978021978,15.74,20.755164835164834,27.18
25.5,63.125,2020,0.2533469387755102,26.05,28.954775510204083,37.35
25.5,63.125,2021,0.26326027397260277,45.38,27.08676712328767,37.39
25.5,63.125,2022,0.6540547945205479,37.16,27.13221917808219,35.85
25.5,63.125,2023,0.7286813186813187,28.12,20.63736263736264,27.33
25.5,63.75,2020,0.3146530612244898,24.98,28.61465306122449,36.54
25.5,63.75,2021,0.26495890410958906,37.32,26.8752602739726,36.72
25.5,63.75,2022,0.7745479452054794,31.41,26.82849315068493,35.2
25.5,63.75,2023,0.8398901098901098,29.57,20.790989010989012,26.88
25.5,64.375,2020,0.517795918367347,28.75,28.4250612244898,35.89
25.5,64.375,2021,0.28898630136986303,24.82,26.867890410958907,36.26
25.5,64.375,2022,0.9720000000000001,32.94,26.61860273972603,35.37
25.5,64.375,2023,0.7703296703296703,18.95,21.026043956043956,27.02
25.5,65.0,2020,1.2658367346938775,50.01,27.869836734693877,34.96
25.5,65.0,2021,0.37547945205479455,19.46,26.59405479452055,35.18
25.5,65.0,2022,1.2702739726027397,33.86,26.25849315068493,35.07
25.5,65.0,2023,0.6739560439560439,14.32,21.12868131868132,26.74
25.5,65.625,2020,2.0637551020408162,85.94,27.36,32.87
25.5,65.625,2021,0.4924109589041096,19.57,26.367506849315067,34.57
25.5,65.625,2022,1.7983561643835615,66.65,25.88909589041096,33.58
25.5,65.625,2023,0.46505494505494505,7.55,21.337362637362638,26.27
25.5,66.25,2020,2.7649795918367346,118.9,27.401836734693877,32.58
25.5,66.25,2021,0.5586301369863014,20.35,26.517780821917807,34.97
25.5,66.25,2022,2.147342465753425,83.21,25.92980821917808,33.2
25.5,66.25,2023,0.23230769230769233,3.82,21.824615384615385,26.29
25.5,66.875,2020,3.087632653061225,137.03,26.786653061224488,33.17
